topic_id,n_documents,top_15_words,bertopic_name
0,365,"hours, randomized, blood, txa, consumption, blood loss, bupivacaine, block, mg, analgesia",0_hours_randomized_blood_txa
1,278,"anteversion, degrees, navigation, axis, alignment, accuracy, measurements, ct, radiographs, cup",1_anteversion_degrees_navigation_axis
2,272,"acetabular, bone, hips, technique, osteotomy, graft, stem, defects, allograft, cup",2_acetabular_bone_hips_technique
3,260,"stage, infection, pji, exchange, stage exchange, dair, reimplantation, periprosthetic joint, periprosthetic, spacer",3_stage_infection_pji_exchange
4,253,"mcid, koos, promis, physical, jr, patient reported, hoos, function, pass, proms",4_mcid_koos_promis_physical
5,251,"odds, infection, increased risk, pji, tja, database, matched, ratio, national, multivariate",5_odds_infection_increased risk_pji
6,215,"ci, 95 ci, odds, day, 90 day, readmission, ratio, 0001, odds ratio, medical",6_ci_95 ci_odds_day
7,200,"meta, systematic, meta analysis, systematic review, review meta, trials, pooled, controlled trials, embase, ci",7_meta_systematic_meta analysis_systematic review
8,198,"flexion, posterior, kinematics, gap, extension, cruciate, rotation, medial, ligament, contact",8_flexion_posterior_kinematics_gap
9,189,"synovial, pji, crp, diagnostic, specificity, sensitivity, fluid, infection, synovial fluid, count",9_synovial_pji_crp_diagnostic
10,147,"survivorship, free, loosening, aseptic, reoperation, instability, survivorship free, aseptic loosening, fracture, fixation",10_survivorship_free_loosening_aseptic
11,139,"aspirin, vte, venous, prophylaxis, dvt, thromboembolism, bleeding, venous thromboembolism, pe, asa",11_aspirin_vte_venous_prophylaxis
12,137,"cementless, stem, hips, ceramic, acetabular, osteolysis, survival, long term, term, long",12_cementless_stem_hips_ceramic
13,125,"report, year old, report case, rare, old, iliopsoas, artery, metal, unusual, woman",13_report_year old_report case_rare
14,116,"survivorship, acetabular, loosening, survival, implant, constrained, stem, modular, aseptic, stems",14_survivorship_acetabular_loosening_survival
15,112,"medicare, reimbursement, care, hospital, payments, cost, hospitals, payment, bpci, costs",15_medicare_reimbursement_care_hospital
16,102,"damage, corrosion, retrieved, wear, fretting, surface, heads, polyethylene, oxidation, vivo",16_damage_corrosion_retrieved_wear
17,91,"metal, levels, ion, cobalt, metal ion, ion levels, chromium, serum, altr, mom",17_metal_levels_ion_cobalt
18,87,"ceramic, fracture, liner, polyethylene, failure, stem, head, report, dissociation, modular",18_ceramic_fracture_liner_polyethylene
19,87,"patellar, cruciate, medial, uka, posterior, cr, ps, knee society, bearing, patella",19_patellar_cruciate_medial_uka
20,86,"health, mental, satisfaction, function, physical, weight, mental health, patient reported, improvement, depression",20_health_mental_satisfaction_function
21,86,"tissue, metal, corrosion, spinopelvic, instability, bone, hip spine, soft, spine, dm",21_tissue_metal_corrosion_spinopelvic
22,85,"members, survey, aahks, respondents, practice, knee surgeons, american association, association hip, hip knee, american",22_members_survey_aahks_respondents
23,81,"care, health care, payment, value, health, pandemic, covid, models, covid 19, bundled",23_care_health care_payment_value
24,76,"biomechanical, bone, fixation, stability, cement, tibial, loading, load, failure, micromotion",24_biomechanical_bone_fixation_stability
25,75,"survival, cumulative, survivorship, cumulative incidence, mortality, reoperation, incidence, younger, acl, implant",25_survival_cumulative_survivorship_cumulative incidence
26,72,"head, taper, corrosion, kn, trunnion, cement, force, assembly, surface, damage",26_head_taper_corrosion_kn
27,67,"costs, care, medicare, cost, episode, episode care, payment, readmissions, readmission, snf",27_costs_care_medicare_cost
28,65,"proms, patient reported, medicare, completion, cms, collection, discharge, measures, prom, reported outcome",28_proms_patient reported_medicare_completion
29,62,"machine learning, machine, learning, models, model, ml, validation, calibration, performance, curve",29_machine learning_machine_learning_models
30,61,"functional, alignment, uka, function, satisfaction, flexion, angle, year follow, clinical outcomes, unicompartmental",30_functional_alignment_uka_function
31,61,"iliopsoas, fusion, lumbar, dislocation, spinopelvic, spine, pathology, anterior, da, offset",31_iliopsoas_fusion_lumbar_dislocation
32,60,"cost, cost effectiveness, effectiveness, cost effective, effective, costs, qaly, markov, adjusted life, quality adjusted",32_cost_cost effectiveness_effectiveness_cost effective
33,58,"acetabular, osteolysis, hips, loosening, components, polyethylene, wear, acetabular components, revised, cup",33_acetabular_osteolysis_hips_loosening
34,56,"opioid, narcotic, narcotics, opioids, pills, prescribed, discharge, consumption, spinal, mme",34_opioid_narcotic_narcotics_opioids
35,54,"hr, revision risk, registry, risk revision, ci, hazard, cementless, cause, loosening, cemented",35_hr_revision risk_registry_risk revision
36,52,"fractures, fracture, orif, stage, periprosthetic, vancouver, spacers, ppfx, direct anterior, anterior approach",36_fractures_fracture_orif_stage
