priority,trigger_keywords,assigned_label
1,periprosthetic AND infection,Periprosthetic Joint Infection Diagnosis and Treatment
2,pji,Periprosthetic Joint Infection Diagnosis and Treatment
3,infection AND synovial AND fluid,Synovial Fluid Biomarkers for PJI Diagnosis
4,two AND stage AND exchange,Two-Stage Exchange Arthroplasty for Infection
5,debridement AND irridation,"Debridement, Antibiotics, and Implant Retention (DAIR)"
6,staphylococcus,Periprosthetic Infection Microbiology
7,antibiotic AND cement,Antibiotic-Loaded Cement Spacers
8,biofilm,Implant Biofilm and Infection Biology
9,robotic AND assisted,Robotic-Assisted Total Joint Arthroplasty
10,robotic,Robotic-Assisted Total Joint Arthroplasty
11,navigation AND computer,Computer-Navigated Knee and Hip Arthroplasty
12,navigated AND tka,Computer-Navigated Knee Arthroplasty
13,patient AND specific AND instrument,Patient-Specific Instrumentation for TKA
14,augmented AND reality,Augmented Reality and Mixed-Reality Surgical Guidance
15,outpatient AND arthroplasty,Outpatient and Same-Day Discharge Arthroplasty
16,same AND day AND discharge,Outpatient and Same-Day Discharge Arthroplasty
17,ambulatory AND surgery,Ambulatory Surgery Center Joint Replacement
18,rapid AND recovery,Rapid Recovery and Enhanced Recovery Protocols
19,enhanced AND recovery,Enhanced Recovery After Surgery (ERAS) Pathways
20,length AND of AND stay,Length of Stay and Discharge Disposition
21,discharge AND home,Discharge Disposition and Skilled Nursing Use
22,opioid,"Opioid Use, Prescription Patterns, and Stewardship"
23,multimodal AND analgesia,Multimodal Analgesia After Joint Arthroplasty
24,periarticular AND injection,Periarticular Injection for Postoperative Pain
25,adductor AND canal,Adductor Canal and Peripheral Nerve Blocks
26,femoral AND nerve AND block,Femoral Nerve Block in Knee Arthroplasty
27,tranexamic AND acid,Tranexamic Acid and Perioperative Blood Loss
28,venous AND thromboembolism,VTE Prophylaxis After Total Joint Arthroplasty
29,dvt AND prophylaxis,DVT Prophylaxis Regimens
30,aspirin AND vte,Aspirin vs Anticoagulant VTE Prophylaxis
31,aspirin,Aspirin for VTE Prophylaxis
32,rivaroxaban,Direct Oral Anticoagulants After Arthroplasty
33,enoxaparin,Low-Molecular-Weight Heparin Prophylaxis
34,warfarin,Warfarin Anticoagulation After Arthroplasty
35,blood AND transfusion,Blood Loss and Transfusion Management
36,highly AND crosslinked,Highly Crosslinked Polyethylene Wear
37,polyethylene AND wear,Polyethylene Wear and Osteolysis
38,polyethylene AND liner,Polyethylene Liner Performance
39,metal AND on AND metal,Metal-on-Metal Bearings and Adverse Reactions
40,ceramic,Ceramic-on-Ceramic Bearings and Fracture
41,osteolysis,Osteolysis and Implant Loosening
42,wear AND particles,Wear Particle Biology and Macrophage Response
43,cementless AND femoral,Cementless Femoral Stem Fixation
44,cemented AND femoral,Cemented Femoral Stem Fixation
45,modular AND neck,Modular Femoral Necks and Taper Corrosion
46,dual AND mobility,Dual-Mobility Acetabular Constructs
47,monoblock,Monoblock Acetabular Cup Design
48,short AND stem,Short-Stem Femoral Components
49,tapered AND stem,Tapered Femoral Stems
50,press AND fit,Press-Fit Acetabular Component Fixation
51,highly AND porous,Highly Porous Acetabular Components
52,anterior AND approach,Direct Anterior Approach Total Hip Arthroplasty
53,posterior AND approach,Posterior Approach Total Hip Arthroplasty
54,dislocation AND tha,Hip Dislocation and Instability After THA
55,hip AND dislocation,Hip Dislocation and Instability
56,hip AND fracture,Hip Fracture and Hemiarthroplasty
57,femoral AND neck AND fracture,Femoral Neck Fracture Hemiarthroplasty
58,hip AND resurfacing,Hip Resurfacing Arthroplasty
59,acetabular AND cup,Acetabular Cup Positioning and Fixation
60,offset AND leg,Femoral Offset and Leg Length
61,uka AND unicompartmental,Unicompartmental Knee Arthroplasty
62,unicompartmental,Unicompartmental Knee Arthroplasty
63,posterior AND stabilized,Posterior-Stabilized vs CR Knee Designs
64,cruciate AND retaining,Cruciate-Retaining Knee Arthroplasty
65,medial AND pivot,Medial-Pivot Knee Designs
66,kinematic AND alignment,Kinematic Alignment in Knee Arthroplasty
67,mechanical AND alignment,Mechanical Alignment in Knee Arthroplasty
68,patellar AND resurfacing,Patellar Resurfacing in TKA
69,flexion AND contracture,Knee Flexion and Range of Motion
70,manipulation AND under AND anesthesia,Manipulation Under Anesthesia for Stiff Knee
71,tibial AND component,Tibial Component Alignment and Fixation
72,femoral AND component,Femoral Component Rotation and Sizing
73,periprosthetic AND fracture,Periprosthetic Fracture Management
74,revision AND tha,Revision Total Hip Arthroplasty
75,revision AND tka,Revision Total Knee Arthroplasty
76,revision AND arthroplasty,Revision Joint Arthroplasty Outcomes
77,aseptic AND loosening,Aseptic Loosening of Hip and Knee Implants
78,readmission,30-Day Readmission and Postoperative Complications
79,mortality AND after,Mortality and Major Complications After Arthroplasty
80,machine AND learning,Machine Learning Prediction of Arthroplasty Outcomes
81,artificial AND intelligence,Artificial Intelligence in Joint Replacement
82,registry AND arthroplasty,National and International Arthroplasty Registries
83,national AND joint AND registry,National Joint Replacement Registry Studies
84,medicare,Medicare Reimbursement and Bundled Payments
85,bundled AND payment,Bundled Payment and Value-Based Care
86,cost AND effectiveness,Cost-Effectiveness of Joint Arthroplasty
87,value AND based,Value-Based Care Models in Arthroplasty
88,patient AND reported AND outcome,Patient-Reported Outcome Measures (PROMs)
89,koos,KOOS and Knee-Specific PROMs
90,hoos,HOOS and Hip-Specific PROMs
91,promis,PROMIS Outcome Measurement
92,oxford AND knee,Oxford Knee Score and Functional Outcomes
93,womac,WOMAC Functional Assessment
94,satisfaction,Patient Satisfaction After Joint Arthroplasty
95,obesity AND bmi,Obesity and BMI as Risk Factor for Arthroplasty
96,morbid AND obesity,Morbid Obesity and Arthroplasty Complications
97,diabetes,Diabetes Mellitus and Arthroplasty Outcomes
98,smoking,Smoking and Joint Arthroplasty Risk
99,hemoglobin AND a1c,HbA1c and Surgical Outcome Optimization
100,malnutrition AND albumin,Nutritional Status and Surgical Risk
101,frailty,Frailty and Arthroplasty Outcomes
102,opioid AND use,Preoperative Opioid Use and Outcomes
103,mental AND health,Depression and Mental Health in Arthroplasty
104,racial AND disparities,Racial and Ethnic Disparities in Arthroplasty
105,socioeconomic,Socioeconomic Determinants of Arthroplasty Outcomes
106,gender AND differences,Sex and Gender Differences in Joint Replacement
107,young AND patients,Joint Arthroplasty in Young Patients
108,elderly AND octogenarian,Arthroplasty in Octogenarian and Elderly Patients
109,megaprosthesis,Megaprosthesis Reconstruction
110,tumor AND endoprosthesis,Endoprosthetic Reconstruction for Tumors
111,oncology AND limb,Limb-Salvage Oncology Arthroplasty
